BHFGHA_00010	BHFGHA_00010
BHFGHA_00010	BHFGHA_24310
BHFGHA_00010	BHFGHA_24675
BHFGHA_00015	BHFGHA_00015
BHFGHA_00015	BHFGHA_24305
BHFGHA_00015	BHFGHA_24680
BHFGHA_00020	BHFGHA_00020
BHFGHA_00020	BHFGHA_24300
BHFGHA_00020	BHFGHA_24685
BHFGHA_00025	BHFGHA_00025
BHFGHA_00025	BHFGHA_24295
BHFGHA_00025	BHFGHA_24690
BHFGHA_00035	BHFGHA_00035
BHFGHA_00035	BHFGHA_24285
BHFGHA_00035	BHFGHA_24700
BHFGHA_00040	BHFGHA_00040
BHFGHA_00045	BHFGHA_00045
BHFGHA_00050	BHFGHA_00050
BHFGHA_00055	BHFGHA_00055
BHFGHA_00060	BHFGHA_00060
BHFGHA_00065	BHFGHA_00065
BHFGHA_00070	BHFGHA_00070
BHFGHA_00075	BHFGHA_00075
BHFGHA_00080	BHFGHA_00080
BHFGHA_00085	BHFGHA_00085
BHFGHA_00090	BHFGHA_00090
BHFGHA_00095	BHFGHA_00095
BHFGHA_00100	BHFGHA_00100
BHFGHA_00105	BHFGHA_00105
BHFGHA_00110	BHFGHA_00110
BHFGHA_00115	BHFGHA_00115
BHFGHA_00120	BHFGHA_00120
BHFGHA_00125	BHFGHA_00125
BHFGHA_00130	BHFGHA_00130
BHFGHA_00135	BHFGHA_00135
BHFGHA_00140	BHFGHA_00140
BHFGHA_00150	BHFGHA_00150
BHFGHA_00155	BHFGHA_00155
BHFGHA_00160	BHFGHA_00160
BHFGHA_00165	BHFGHA_00165
BHFGHA_00170	BHFGHA_00170
BHFGHA_00175	BHFGHA_00175
BHFGHA_00180	BHFGHA_00180
BHFGHA_00185	BHFGHA_00185
BHFGHA_00190	BHFGHA_00190
BHFGHA_00195	BHFGHA_00195
BHFGHA_00200	BHFGHA_00200
BHFGHA_00205	BHFGHA_00205
BHFGHA_00210	BHFGHA_00210
BHFGHA_00215	BHFGHA_00215
BHFGHA_00220	BHFGHA_00220
BHFGHA_00225	BHFGHA_00225
BHFGHA_00230	BHFGHA_00230
BHFGHA_00235	BHFGHA_00235
BHFGHA_00240	BHFGHA_00240
BHFGHA_00245	BHFGHA_00245
BHFGHA_00250	BHFGHA_00250
BHFGHA_00255	BHFGHA_00255
BHFGHA_00260	BHFGHA_00260
BHFGHA_00265	BHFGHA_00265
BHFGHA_00270	BHFGHA_00270
BHFGHA_00275	BHFGHA_00275
BHFGHA_00280	BHFGHA_00280
BHFGHA_00285	BHFGHA_00285
BHFGHA_00290	BHFGHA_00290
BHFGHA_00295	BHFGHA_00295
BHFGHA_00300	BHFGHA_00300
BHFGHA_00305	BHFGHA_00305
BHFGHA_00310	BHFGHA_00310
BHFGHA_00315	BHFGHA_00315
BHFGHA_00320	BHFGHA_00320
BHFGHA_00325	BHFGHA_00325
BHFGHA_00330	BHFGHA_00330
BHFGHA_00335	BHFGHA_00335
BHFGHA_00340	BHFGHA_00340
BHFGHA_00345	BHFGHA_00345
BHFGHA_00350	BHFGHA_00350
BHFGHA_00355	BHFGHA_00355
BHFGHA_00360	BHFGHA_00360
BHFGHA_00365	BHFGHA_00365
BHFGHA_00370	BHFGHA_00370
BHFGHA_00375	BHFGHA_00375
BHFGHA_00380	BHFGHA_00380
BHFGHA_00385	BHFGHA_00385
BHFGHA_00390	BHFGHA_00390
BHFGHA_00395	BHFGHA_00395
BHFGHA_00400	BHFGHA_00400
BHFGHA_00405	BHFGHA_00405
BHFGHA_00410	BHFGHA_00410
BHFGHA_00415	BHFGHA_00415
BHFGHA_00420	BHFGHA_00420
BHFGHA_00425	BHFGHA_00425
